Id,City,UseYear,RoadWide,RegisterReason,MaterialCode,BuildTotalLevel,BuildLevel,PurposeCode,buildRate,UsedState,JcicBuildMaterialCode,JcicBuildPurposeCode,OtherBuildPurpose,StallPrice,StallNum,StallAreaSize,TotalAreaSize,RegisterPurpose1,RegisterPurpose2,RegisterPurpose3,RegisterPurpose4,RegisterPurpose5,RegisterPurpose6,landSize,IdenPrice
80,5,30,6,02,04,5,5,35,7.000000,01,E,A,3,0.000,0,0.00,34.98,8.470000,1.320000,0.790000,0.000000,0.000000,0.000000,9.94,9094800.000
81,5,17,6,02,04,18,12,34,28.000000,70,E,B,3,0.000,0,0.00,31.11,5.970000,0.840000,2.600000,0.000000,0.000000,0.000000,3.52,11510700.000
82,3,10,14,04,04,14,14,35,28.000000,01,E,A,3,2600000.000,2,0.00,62.96,11.620000,2.100000,5.330000,3.680000,0.000000,0.000000,10.91,16999200.000
83,4,12,20,06,11,13,10,35,39.000000,01,I,A,3,0.000,0,0.00,55.24,9.130000,1.040000,6.540000,0.000000,0.000000,0.000000,10.97,7733600.000
84,5,9,25,02,04,24,19,10,34.000000,02,E,Z,4,1200000.000,1,10.54,23.13,4.180000,0.440000,2.380000,3.190000,0.000000,0.000000,2.57,7632900.000
85,4,18,6,06,04,4,1,10,0.000000,01,E,Z,3,0.000,0,0.00,61.28,17.120000,1.420000,0.000000,0.000000,0.000000,0.000000,17.24,8579200.000
86,5,25,9,05,04,17,15,35,9.000000,01,E,A,3,0.000,0,0.00,36.89,8.820000,1.360000,0.990000,0.000000,0.000000,0.000000,4.19,10048836.000
87,3,12,8,02,04,5,1,30,18.000000,04,E,D,4,1500000.000,1,8.54,65.17,15.750000,0.460000,3.500000,2.580000,0.000000,0.000000,18.00,21049910.000
88,4,28,20,01,04,5,3,35,0.000000,01,E,A,4,0.000,0,0.00,35.14,10.630000,0.000000,0.000000,0.000000,0.000000,0.000000,9.50,6325200.000
89,6,28,8,02,04,5,1,35,11.000000,01,E,A,4,0.000,0,0.00,36.29,9.090000,1.130000,1.230000,0.000000,0.000000,0.000000,10.21,18507900.000
90,5,24,12,02,04,7,3,35,13.000000,70,E,A,3,0.000,0,0.00,34.52,7.990000,1.150000,1.310000,0.000000,0.000000,0.000000,5.62,5523200.000
91,5,18,6,02,04,29,16,35,22.000000,01,E,A,3,0.000,0,0.00,49.14,9.800000,1.850000,3.210000,0.000000,0.000000,0.000000,3.67,20638800.000
92,3,21,40,02,04,14,12,35,25.000000,04,E,A,4,500000.000,1,3.96,36.16,6.800000,1.410000,2.730000,1.200000,0.000000,0.000000,4.30,5966400.000
93,6,52,3,02,08,3,2,10,8.000000,04,D,A,4,0.000,0,0.00,26.25,32.780000,0.650000,2.760000,0.000000,0.000000,0.000000,32.98,17325000.000
94,6,29,40,01,04,12,2,34,8.000000,04,E,B,4,0.000,0,0.00,32.80,32.780000,0.650000,2.760000,0.000000,0.000000,0.000000,32.98,23616000.000
95,6,29,40,01,04,12,1,34,8.000000,04,E,B,4,0.000,0,0.00,22.17,32.780000,0.650000,2.760000,0.000000,0.000000,0.000000,32.98,45448500.000
